model,strategy,strategy_id,dataset,f1,accuracy,precision,recall
llama_3.1_1b,Sliding Window,1,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_3b,Sliding Window,1,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_8b,Sliding Window,1,dev,0.0,0.9653216311677192,0.0,0.0
qwen3_8b,Sliding Window,1,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_8b,Sliding Window,1,ood,0.04040404040404041,0.9375821287779238,0.6666666666666666,0.020833333333333332
llama_3.1_1b,Sliding Window,1,ood,0.0,0.9369250985545335,0.0,0.0
llama_3.1_3b,Sliding Window,1,ood,0.0,0.9369250985545335,0.0,0.0
qwen3_8b,Sliding Window,1,ood,0.0,0.9369250985545335,0.0,0.0
qwen3_8b,Next-Token Prob,2,dev,0.012269938650306749,0.9655356951728566,1.0,0.006172839506172839
llama_3.1_1b,Next-Token Prob,2,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_3b,Next-Token Prob,2,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_8b,Next-Token Prob,2,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_1b,Next-Token Prob,2,ood,0.0,0.9369250985545335,0.0,0.0
llama_3.1_3b,Next-Token Prob,2,ood,0.0,0.9369250985545335,0.0,0.0
llama_3.1_8b,Next-Token Prob,2,ood,0.0,0.9369250985545335,0.0,0.0
qwen3_8b,Next-Token Prob,2,ood,0.0,0.9369250985545335,0.0,0.0
llama_3.1_8b,Marker Insertion,3,dev,0.587378640776699,0.9636091191266188,0.484,0.7469135802469136
llama_3.1_3b,Marker Insertion,3,dev,0.30962343096234307,0.9646794391523066,0.4805194805194805,0.22839506172839505
llama_3.1_1b,Marker Insertion,3,dev,0.10050251256281408,0.961682543080381,0.2702702702702703,0.06172839506172839
qwen3_8b,Marker Insertion,3,dev,0.012295081967213115,0.9484105747618538,0.018292682926829267,0.009259259259259259
llama_3.1_8b,Marker Insertion,3,ood,0.8372093023255814,0.9770039421813403,0.7563025210084033,0.9375
llama_3.1_3b,Marker Insertion,3,ood,0.18691588785046728,0.942838370565046,0.9090909090909091,0.10416666666666667
llama_3.1_1b,Marker Insertion,3,ood,0.08,0.9395532194480947,1.0,0.041666666666666664
qwen3_8b,Marker Insertion,3,ood,0.0,0.9132720105124835,0.0,0.0
llama_3.1_8b,Structured JSON,4,dev,0.33122171945701356,0.9209033501016805,0.23431498079385404,0.5648148148148148
qwen3_8b,Structured JSON,4,dev,0.18641114982578397,0.9000321096007706,0.12985436893203883,0.33024691358024694
llama_3.1_3b,Structured JSON,4,dev,0.08,0.8473723643369367,0.05057096247960848,0.19135802469135801
llama_3.1_1b,Structured JSON,4,dev,0.06521187515858919,0.21138820507331693,0.03400370468377878,0.7932098765432098
llama_3.1_8b,Structured JSON,4,ood,0.4716981132075472,0.926412614980289,0.43103448275862066,0.5208333333333334
qwen3_8b,Structured JSON,4,ood,0.2878787878787879,0.8764783180026281,0.2261904761904762,0.3958333333333333
llama_3.1_3b,Structured JSON,4,ood,0.16666666666666666,0.80946123521682,0.11507936507936507,0.3020833333333333
llama_3.1_1b,Structured JSON,4,ood,0.11988716502115655,0.1800262812089356,0.06429652042360061,0.8854166666666666
llama_3.1_3b,Few-Shot Hard,5,dev,0.05161290322580645,0.9213314781119555,0.04434589800443459,0.06172839506172839
llama_3.1_8b,Few-Shot Hard,5,dev,0.011594202898550725,0.96350208712405,0.09523809523809523,0.006172839506172839
llama_3.1_1b,Few-Shot Hard,5,dev,0.0,0.9646794391523066,0.0,0.0
qwen3_8b,Few-Shot Hard,5,dev,0.0,0.9650005351600128,0.0,0.0
llama_3.1_3b,Few-Shot Hard,5,ood,0.10457516339869281,0.8199737187910644,0.0761904761904762,0.16666666666666666
llama_3.1_8b,Few-Shot Hard,5,ood,0.037037037037037035,0.9316688567674113,0.16666666666666666,0.020833333333333332
llama_3.1_1b,Few-Shot Hard,5,ood,0.0,0.9356110381077529,0.0,0.0
qwen3_8b,Few-Shot Hard,5,ood,0.0,0.9362680683311432,0.0,0.0
llama_3.1_1b,Chain-of-Thought,6,dev,0.4697508896797153,0.9681044632345072,0.5546218487394958,0.4074074074074074
llama_3.1_8b,Chain-of-Thought,6,dev,0.44349680170575695,0.9720646473295516,0.7172413793103448,0.32098765432098764
llama_3.1_3b,Chain-of-Thought,6,dev,0.06818181818181818,0.964893503157444,0.42857142857142855,0.037037037037037035
qwen3_8b,Chain-of-Thought,6,dev,0.0,0.9653216311677192,0.0,0.0
llama_3.1_8b,Chain-of-Thought,6,ood,0.5034965034965035,0.9533508541392904,0.7659574468085106,0.375
llama_3.1_1b,Chain-of-Thought,6,ood,0.417910447761194,0.9487516425755584,0.7368421052631579,0.2916666666666667
llama_3.1_3b,Chain-of-Thought,6,ood,0.1509433962264151,0.9408672798948752,0.8,0.08333333333333333
qwen3_8b,Chain-of-Thought,6,ood,0.0,0.9362680683311432,0.0,0.0
llama_3.1_8b,Iterative Refinement,7,dev,0.26993865030674846,0.9617895750829498,0.4,0.2037037037037037
llama_3.1_3b,Iterative Refinement,7,dev,0.07339889661789398,0.586535374076849,0.03979193758127438,0.4722222222222222
llama_3.1_1b,Iterative Refinement,7,dev,0.010752688172043012,0.9606122230546934,0.041666666666666664,0.006172839506172839
qwen3_8b,Iterative Refinement,7,dev,0.005649717514124294,0.9623247350957936,0.03333333333333333,0.0030864197530864196
llama_3.1_8b,Iterative Refinement,7,ood,0.2033898305084746,0.938239159001314,0.5454545454545454,0.125
llama_3.1_3b,Iterative Refinement,7,ood,0.11463046757164404,0.614323258869908,0.06701940035273368,0.3958333333333333
qwen3_8b,Iterative Refinement,7,ood,0.02,0.9356110381077529,0.25,0.010416666666666666
llama_3.1_1b,Iterative Refinement,7,ood,0.019230769230769232,0.9329829172141918,0.125,0.010416666666666666
